become became become	になる|(ある状態)になる･変わる	anc
build built built	建てる|つくる	anc
lend lent lent	貸す	anc
is was been	be動詞の三人称単数形(it)
am was been	be動詞の一人称(I)
are were been	be動詞の二人称(you)
have had had	持っている|経験する|食べる|(完了形を作る)	anc
put put put	置く	original
make made made	作る|(対象を新しい別のもの･状態に)する	anc
break broke broken	損なう	anc
drink drank drunk	を飲む	anc
get got gotten	得る|(もの･こと)を得る|(状態に)なる	anc
know knew known	を知っている	original
meet met met	会う|を出迎える	anc
hear heard heard	聞く|(受動的に、ばくぜんと)聞こえる|耳にする	anc
find found found	を見つける	anc
cut cut cut	切る	anc
drive drove driven	駆り立てる|原動力|意欲|運動	anc
catch caught caught	をつかまえる|(病気)にかかる|を捕らえる	anc
give gave given	与える|(イメージ:手元から出す)	anc
eat ate eaten	食べる	anc
come came come	来る	original
begin began begun	始まる|始める	anc
lose lost lost	失う|負ける	anc
buy bought bought	買う	anc
keep kept kept	保つ|キープする	original
go went gone	行く	original
forget forgot forgotten	を忘れる	anc
do did done	する	original
bring brought brought	持ってくる	anc
leave left left	去る|残して去る|許可|休暇	original
read read read	読む	anc
take took taken	取る	original
tell told told	伝える|言う|区別する	original
send sent sent	送る	anc
sleep slept slept	眠る	anc
say said said	言う|言ってみれば(例えば)	original
write wrote written	書く	anc
sit sat sat	すわる|すわっている	anc
think thought thought	思う|考える	anc
teach taught taught	教える	anc
see saw seen	見る|(イメージ:視界に)入る	anc
understand understood understood	理解する	anc
show showed shown	を見せる|教える|示す|(テレビの)番組|ショー	anc
sell sold sold	売る|売れる	anc
ride rode ridden	に乗る|に乗っていく	anc
sing sang sung	(を)歌う	anc
speak spoke spoken	話す	anc
run ran run	走る|(何かを)走らせる|ある状態にさせる	anc
stand stood stood	立つ|立っている	anc
fail fell fallen	失敗する|失望させる|しくじる|不足する|欠乏する|期待を裏切る	anc
swim swam swam	泳ぐ	anc
